feature_name,significance_difference,both_normal_disribution,p_value
Coh_alpha_T3-F7,False,True,0.7703016958452193
Coh_alpha_Ft8-Fc4,False,True,0.5504143540997837
Coh_alpha_T5-F7,False,True,0.38634690958113305
Coh_alpha_T3-F3,False,True,0.46112310010283386
Coh_alpha_F7-Tp7,False,True,0.4148745333158105
Corr_T3-Fc3,False,True,0.9007683608952305
KFD_Oz,False,False,0.12416386970735584
LogBP_theta_T6,False,False,0.6082944049338188
LogBP_alpha_C3,False,True,0.5996704557125532
LogBP_theta_Cpz,False,False,0.8117192403619948
LogBP_theta_O2,False,False,0.4659631575230586
PLI_theta_P3-Fz,False,False,0.8909118713490589
PLI_theta_F4-F8,False,True,0.7361849393891812
PLI_theta_C4-T6,False,False,0.5089408957249272
PLI_theta_O1-Cpz,False,True,0.41903993440661647
PLI_beta_O1-F8,True,False,0.021706460110754566
PLI_theta_Fz-F8,False,False,0.40240169237793044
PLI_gamma_Fz-F8,False,True,0.27799490166193597
PLI_theta_O1-Fz,False,True,0.19665711464362418
PLI_theta_Fz-O2,False,True,0.15531800406003624
PLI_theta_O1-Fp2,False,True,0.938911411496308
PLI_alpha_Cp3-Cpz,False,True,0.29758548384375705
PLI_gamma_Fc4-T4,True,True,0.03011868029493105
PLI_beta_Tp8-Tp7,False,False,0.9309725024286015
PLI_theta_Tp7-C3,True,False,0.013289087767330957
PLI_delta_C4-Cp4,False,True,0.7285201834439495
PLI_theta_T3-Pz,False,True,0.1601104743435926
PLI_delta_P3-C3,False,False,0.8909118713490589
PLI_theta_Tp7-Pz,False,True,0.8035604270975705
PLI_gamma_T5-Fc3,False,True,0.13207209808304557
PLV_alpha_T3-F7,False,False,0.9539497092361731
PLV_alpha_F4-T4,False,True,0.8584425811265282
PLV_alpha_Ft8-Fc4,False,True,0.42706323389892287
PLV_alpha_Fcz-F3,False,False,0.1817414308105193
PLV_alpha_Cp3-Fc3,False,True,0.2719542999124291
PLV_beta_T3-C4,False,False,0.971208821691278
PLV_beta_T3-Fc3,False,False,0.39835762852299705
PLV_theta_T3-Fc3,False,False,0.4928693338931086
PLV_gamma_T3-Fc4,False,False,0.982722892824859
PLV_theta_Cp3-Fc3,False,True,0.21034628665964394
PLV_gamma_T3-Cp4,False,False,0.8909118713490589
PLV_beta_P3-Pz,False,True,0.6444886862853991
PLV_beta_F4-Cp4,False,False,0.8005421074231263
PLV_gamma_T3-Ft8,False,False,0.8738218862913374
PLV_gamma_Cpz-C4,False,False,0.12067043498800929
RP-I_gamma_T3-O1,False,False,0.21707098425274007
RP-I_gamma_T3-Tp8,True,True,0.01507827432269626
RP-I_gamma_Tp8-T4,False,True,0.615745335720327
RP-I_theta_T3-C4,False,True,0.27602056004787723
RP-I_beta_Oz-Pz,False,False,0.39433814377794807
RP-I_beta_T3-T6,True,True,0.01611749846464056
RP-I_alpha_Fc3-Fcz,False,False,0.27891196500975535
RP-I_beta_T3-Tp7,False,False,0.2886392683118132
RP-I_beta_Fc3-P4,False,False,0.2143943161687729
RP-I_beta_T5-T3,False,True,0.12611786148266504
RP-II_beta_Cp3-Oz,False,False,0.4703900843524571
RP-II_beta_Fc3-Cp4,False,False,0.9137762240273302
RP-II_gamma_Oz-Pz,False,False,0.1313869676626895
RP-II_beta_Cp3-O2,False,False,0.623529528082556
RP-II_theta_O1-Cp4,False,True,0.4552499996370828
RP-II_theta_Oz-Cp4,False,True,0.26176694186718363
RP-II_delta_T3-Fc3,False,True,0.6274704887331322
RP-II_gamma_T5-T3,False,False,0.9769652573090752
RP-II_delta_Oz-Pz,False,False,0.37074048400740234
RP-II_gamma_Fc3-Fc4,False,True,0.145386825231986
RP-II_theta_Oz-Fc4,False,False,0.17247753509766162
RP-II_beta_O1-Cp4,False,True,0.8326187164231169
RP-II_gamma_T3-Cp3,False,True,0.2998438372604248
RP-II_gamma_O1-Pz,False,False,0.06461363759615463
RP-II_gamma_T5-Pz,True,True,0.009353564190927446
RP-II_beta_F7-Cp4,False,True,0.1701689009219236
RP-II_gamma_T5-T4,False,True,0.15000065810943258
RP-III_theta_O1-T6,False,True,0.8558866117175348
RP-III_alpha_T3-C3,False,True,0.25879622536124075
RP-III_gamma_T3-O1,False,False,0.19383409684918773
RP-III_alpha_C4-T4,False,True,0.7751689194085949
RP-III_gamma_T3-Tp7,False,True,0.7895228927139926
RP-III_gamma_Cp3-Fcz,False,False,0.8061257235568626
RP-III_gamma_T3-C3,True,True,0.0415116647215495
RP-III_theta_Oz-C4,False,True,0.12877661113991454
RP-III_gamma_T3-F7,False,False,0.095422812113372
RP-III_beta_Fc3-F4,False,True,0.40591467159386874
RatioPower_beta_T3,False,True,0.33387880305679374
RatioPower_beta_Ft8,False,True,0.7145622573681484
RatioPower_delta_T3,True,False,0.009760423587805267
